Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter,Birth_Country,Salary,Contract_Type
44,2023,P,Bobby Miller,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Venezuela,897000.0,Rookie
45,2023,P,Caleb Ferguson,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,746000.0,Rookie
46,2023,P,Daniel Hudson,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,838000.0,Rookie
47,2023,P,Ryan Brasier,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Puerto Rico,721000.0,Rookie
48,2023,P,Alex Vesia,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,790000.0,Rookie
49,2023,P,Ryan Pepiot,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Cuba,799000.0,Rookie
50,2023,P,Adam Kolarek,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,806000.0,Rookie
51,2023,P,Ryan Yarbrough,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,870000.0,Rookie
52,2023,P,Yency Almonte,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Cuba,804000.0,Rookie
53,2023,P,Clayton Kershaw,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,35000000.0,Superstar
54,2023,P,Evan Phillips,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,771000.0,Rookie
55,2023,P,Emmet Sheehan,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Venezuela,801000.0,Rookie
56,2023,P,Tony Gonsolin,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,769000.0,Rookie
57,2023,P,Andre Jackson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Dominican Republic,736000.0,Rookie
58,2023,P,Brusdar Graterol,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Dominican Republic,850000.0,Rookie
1,2022,C,Will Smith,27,137,578,508,68,132,26,3,24,87,1,0,56,96,0.26,0.343,0.465,0.807,124,236,11,10,0,4,4,Right,No,USA,20234000.0,Star
2,2022,1B,Freddie Freeman,32,159,708,612,117,199,47,2,21,100,13,3,84,102,0.325,0.407,0.511,0.918,156,313,6,5,0,7,12,Left,No,USA,27866000.0,Superstar
3,2022,2B,Gavin Lux,24,129,471,421,66,116,20,7,6,42,7,2,47,95,0.276,0.346,0.399,0.745,109,168,3,0,0,3,0,Left,No,USA,7037000.0,Arbitration
4,2022,SS,Trea Turner,29,160,708,652,101,194,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,124,304,9,3,0,6,1,Right,No,Dominican Republic,17638000.0,Star
5,2022,3B,Max Muncy,31,136,565,464,69,91,22,1,21,69,2,0,90,141,0.196,0.329,0.384,0.713,100,178,2,5,0,6,1,Left,No,USA,13195000.0,Mid
6,2022,LF,Chris Taylor,31,118,454,402,45,89,25,3,10,43,10,1,44,160,0.221,0.304,0.373,0.677,89,150,4,5,0,3,2,Right,No,USA,4989000.0,Arbitration
7,2022,CF,Cody Bellinger,26,144,550,504,70,106,27,3,19,68,14,3,38,150,0.21,0.265,0.389,0.654,81,196,7,2,0,6,0,Left,No,USA,4387000.0,Arbitration
8,2022,RF,Mookie Betts,29,142,639,572,117,154,40,3,35,82,12,2,55,104,0.269,0.34,0.533,0.873,140,305,8,8,0,4,0,Right,No,USA,14451000.0,Mid
9,2022,DH,Justin Turner,37,128,532,468,61,130,36,0,13,81,3,0,50,89,0.278,0.35,0.438,0.788,120,205,13,6,0,8,1,Right,No,USA,5856000.0,Arbitration
10,2022,OF,Trayce Thompson,31,74,239,205,35,55,14,1,13,39,4,0,30,86,0.268,0.364,0.537,0.901,149,110,2,2,0,2,0,Right,No,USA,26071000.0,Superstar
11,2022,C,Austin Barnes,32,62,212,179,31,38,6,0,8,26,2,1,27,37,0.212,0.324,0.38,0.704,97,68,5,3,2,1,0,Right,No,USA,9711000.0,Mid
12,2022,IF,Hanser Alberto,29,73,159,156,13,38,9,2,2,15,0,1,3,25,0.244,0.258,0.365,0.623,73,57,7,0,0,0,0,Right,No,USA,5209000.0,Arbitration
13,2022,LF,Joey Gallo,28,44,137,117,16,19,4,1,7,23,1,0,16,57,0.162,0.277,0.393,0.671,86,46,0,3,0,1,0,Left,No,USA,5041000.0,Arbitration
14,2022,DH,Edwin Rios,28,27,92,86,12,21,1,0,7,17,0,1,5,36,0.244,0.293,0.5,0.793,117,43,2,1,0,0,1,Left,No,Dominican Republic,851000.0,Rookie
15,2022,DH,Jake Lamb,31,25,77,67,10,16,5,1,2,4,0,1,8,24,0.239,0.338,0.433,0.77,115,29,4,2,0,0,0,Left,No,USA,885000.0,Rookie
16,2022,UT,Miguel Vargas,22,18,50,47,4,8,1,0,1,8,1,0,2,13,0.17,0.2,0.255,0.455,27,12,0,0,0,1,0,Right,No,Cuba,896000.0,Rookie
17,2022,UT,Eddy Alvarez,32,14,27,25,1,4,0,0,0,3,1,0,0,9,0.16,0.154,0.16,0.314,-12,4,1,0,1,1,0,Left,No,USA,875000.0,Rookie
18,2022,OF,James Outman,25,4,16,13,6,6,2,0,1,3,0,0,2,7,0.462,0.563,0.846,1.409,289,11,0,1,0,0,0,Left,No,USA,926000.0,Rookie
19,2022,UT,Zach McKinstry,27,10,14,11,4,1,0,0,1,2,0,0,3,4,0.091,0.286,0.364,0.649,81,4,0,0,0,0,0,Left,No,USA,724000.0,Rookie
20,2022,OF,Kevin Pillar,33,4,13,12,1,1,1,0,0,0,0,0,1,4,0.083,0.154,0.167,0.321,-10,2,1,0,0,0,0,Right,No,USA,762000.0,Rookie
21,2022,UT,Tony Wolters,30,2,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,Dominican Republic,722000.0,Rookie
22,2022,P,Tyler Anderson,32,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,860000.0,Rookie
23,2022,P,Evan Phillips,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,914000.0,Rookie
24,2022,P,Michael Grove,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,773000.0,Rookie
25,2022,P,Dustin May,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Puerto Rico,920000.0,Rookie
26,2022,P,Jake Reed,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,733000.0,Rookie
27,2022,P,Julio Urías,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,922000.0,Rookie
28,2022,P,Tommy Kahnle,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,796000.0,Rookie
29,2022,P,Phil Bickford,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Puerto Rico,742000.0,Rookie
30,2022,P,Reyes Moronta,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,825000.0,Rookie
31,2022,P,Craig Kimbrel,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,775000.0,Rookie
32,2022,P,Justin Bruihl,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Venezuela,782000.0,Rookie
33,2022,P,Andrew Heaney,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Cuba,786000.0,Rookie
34,2022,P,Walker Buehler,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,893000.0,Rookie
35,2022,P,Blake Treinen,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Dominican Republic,836000.0,Rookie
36,2022,P,Garrett Cleavinger,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,787000.0,Rookie
37,2022,P,Heath Hembree,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,852000.0,Rookie
38,2022,P,David Price,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,875000.0,Rookie
39,2022,P,Caleb Ferguson,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,779000.0,Rookie
40,2022,P,Daniel Hudson,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Venezuela,809000.0,Rookie
41,2022,P,Alex Vesia,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Venezuela,746000.0,Rookie
42,2022,P,Chris Martin,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,759000.0,Rookie
43,2022,P,Ryan Pepiot,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,867000.0,Rookie
44,2022,P,Yency Almonte,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,759000.0,Rookie
45,2022,P,Clayton Kershaw,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,35000000.0,Superstar
46,2022,P,Mitch White,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,873000.0,Rookie
47,2022,P,Robbie Erlin,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,743000.0,Rookie
48,2022,P,Tony Gonsolin,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,843000.0,Rookie
49,2022,P,Andre Jackson,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,775000.0,Rookie
50,2022,P,Shane Greene,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,928000.0,Rookie
51,2022,P,Brusdar Graterol,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Cuba,824000.0,Rookie
1,2021,C,Will Smith,26,130,501,414,71,107,19,2,25,76,3,0,58,101,0.258,0.365,0.495,0.86,127,205,11,18,0,11,4,Right,No,USA,19168000.0,Star
2,2021,1B,Max Muncy,30,144,592,497,95,124,26,2,36,94,2,1,83,120,0.249,0.368,0.527,0.895,135,262,7,11,0,1,5,Left,No,USA,19172000.0,Star
3,2021,2B,Trea Turner,28,52,226,207,41,70,17,0,10,28,11,2,15,33,0.338,0.385,0.565,0.95,149,117,5,2,0,2,2,Right,No,Dominican Republic,23546000.0,Star
4,2021,SS,Corey Seager,27,95,409,353,54,108,22,3,16,57,1,1,48,66,0.306,0.394,0.521,0.915,142,184,8,5,0,3,2,Left,No,USA,27969000.0,Superstar
5,2021,3B,Justin Turner,36,151,612,533,87,148,22,0,27,87,3,0,61,98,0.278,0.361,0.471,0.832,120,251,12,12,0,6,0,Right,No,USA,15723000.0,Star
6,2021,LF,AJ Pollock,33,117,422,384,53,114,27,1,21,69,9,1,30,80,0.297,0.355,0.536,0.892,134,206,4,6,0,2,4,Right,No,USA,18121000.0,Star
7,2021,CF,Cody Bellinger,25,95,350,315,39,52,9,2,10,36,3,1,31,94,0.165,0.24,0.302,0.542,44,95,2,1,0,3,2,Left,No,USA,2291000.0,Arbitration
8,2021,RF,Mookie Betts,28,122,550,466,93,123,29,3,23,58,10,5,68,86,0.264,0.367,0.487,0.854,126,227,5,11,0,5,2,Right,No,USA,22178000.0,Star
9,2021,UT,Chris Taylor,30,148,582,507,92,129,25,4,20,73,13,1,63,167,0.254,0.344,0.438,0.782,107,222,5,8,1,3,2,Right,No,USA,8431000.0,Mid
10,2021,MI,Gavin Lux,23,102,381,335,49,81,12,4,7,46,4,1,41,83,0.242,0.328,0.364,0.692,85,122,3,3,0,2,3,Left,No,Puerto Rico,2477000.0,Arbitration
11,2021,UT,Matt Beaty,28,120,234,204,35,55,4,1,7,40,2,2,20,44,0.27,0.363,0.402,0.765,104,82,3,10,0,0,0,Left,No,USA,11302000.0,Mid
12,2021,C,Austin Barnes,31,77,225,200,28,43,8,0,6,23,1,0,20,56,0.215,0.299,0.345,0.644,72,69,6,4,1,0,1,Right,No,USA,4600000.0,Arbitration
13,2021,1B,Albert Pujols,41,85,204,189,20,48,3,0,12,38,1,0,11,32,0.254,0.299,0.46,0.759,99,87,10,2,0,2,2,Right,No,USA,4164000.0,Arbitration
14,2021,UT,Zach McKinstry,26,60,172,158,19,34,9,0,7,29,1,1,10,50,0.215,0.263,0.405,0.668,75,64,3,1,1,2,1,Left,No,Dominican Republic,5733000.0,Arbitration
15,2021,RF,Billy McKinney,26,37,98,82,8,12,2,1,1,7,0,0,14,24,0.146,0.276,0.232,0.507,38,19,1,1,0,1,1,Left,No,Dominican Republic,796000.0,Rookie
16,2021,OF,Luke Raley,26,33,72,66,5,12,1,0,2,4,0,0,2,25,0.182,0.25,0.288,0.538,43,19,1,4,0,0,1,Left,No,South Korea,771000.0,Rookie
17,2021,UT,Sheldon Neuse,26,33,66,65,6,11,1,0,3,4,1,1,1,26,0.169,0.182,0.323,0.505,31,21,2,0,0,0,0,Right,No,USA,889000.0,Rookie
18,2021,UT,Edwin Rios,27,25,60,51,4,4,0,0,1,1,0,0,7,18,0.078,0.217,0.137,0.354,-2,7,3,2,0,0,0,Left,No,Mexico,779000.0,Rookie
19,2021,OF,Steven Souza Jr.,32,17,36,33,2,5,1,1,1,3,0,0,2,14,0.152,0.222,0.333,0.556,46,11,2,1,0,0,0,Right,No,USA,898000.0,Rookie
20,2021,OF,DJ Peters,25,18,34,26,5,5,2,0,1,4,0,0,8,14,0.192,0.382,0.385,0.767,106,10,0,0,0,0,4,Right,No,USA,812000.0,Rookie
21,2021,LF,Yoshi Tsutsugo,29,12,31,25,2,3,0,0,0,2,0,0,6,12,0.12,0.29,0.12,0.41,16,3,0,0,0,0,0,Left,No,Dominican Republic,864000.0,Rookie
22,2021,IF,Andy Burns,30,9,15,11,2,3,1,0,0,0,0,0,3,1,0.273,0.467,0.364,0.83,127,4,1,1,0,0,0,Right,No,Venezuela,741000.0,Rookie
23,2021,OF,Zach Reks,27,6,10,10,2,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,Puerto Rico,855000.0,Rookie
24,2021,C,Keibert Ruiz,22,6,7,7,1,1,0,0,1,1,0,0,0,5,0.143,0.143,0.571,0.714,77,4,0,0,0,0,0,Right,Yes,Dominican Republic,818000.0,Rookie
25,2021,P,Walker Buehler,26,34,82,69,5,7,2,0,0,3,0,0,5,45,0.101,0.162,0.13,0.293,-20,9,0,0,8,0,0,Right,No,USA,847000.0,Rookie
26,2021,P,Julio Urías,24,30,70,59,5,12,2,0,0,9,0,0,0,22,0.203,0.217,0.237,0.454,21,14,1,1,10,0,0,Left,No,Venezuela,756000.0,Rookie
27,2021,P,Clayton Kershaw,33,21,39,36,2,8,0,0,0,3,0,0,1,11,0.222,0.243,0.222,0.465,26,8,0,0,2,0,0,Left,No,USA,35000000.0,Superstar
28,2021,P,Trevor Bauer,30,14,34,30,0,1,0,0,0,1,0,0,1,11,0.033,0.065,0.033,0.098,-73,1,0,0,3,0,0,Right,No,Venezuela,906000.0,Rookie
29,2021,P,Max Scherzer,36,11,26,24,0,0,0,0,0,1,0,0,0,15,0.0,0.0,0.0,0.0,-100,0,0,0,1,1,0,Right,No,Venezuela,767000.0,Rookie
30,2021,P,Tony Gonsolin,27,17,19,17,2,3,1,0,0,0,0,0,1,8,0.176,0.222,0.235,0.458,23,4,0,0,1,0,0,Right,No,USA,741000.0,Rookie
31,2021,P,David Price,35,37,18,15,1,4,1,0,0,2,0,0,0,3,0.267,0.25,0.333,0.583,54,5,0,0,2,1,0,Left,No,USA,725000.0,Rookie
32,2021,P,Mitch White,26,20,16,15,1,0,0,0,0,0,0,0,1,11,0.0,0.063,0.0,0.063,-81,0,0,0,0,0,0,Right,No,USA,859000.0,Rookie
33,2021,P,Edwin Uceta,23,14,5,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,8,1,0,0,0,0,0,Right,No,Puerto Rico,851000.0,Rookie
34,2021,P,Dustin May,23,3,4,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No,USA,838000.0,Rookie
35,2021,P,Alex Vesia,25,41,4,3,0,0,0,0,0,0,0,0,1,3,0.0,0.25,0.0,0.25,-24,0,0,0,0,0,0,Left,No,USA,770000.0,Rookie
